"id","name","email","password","preferences","age"
1,"User 1","user1@example.com","password123","[]",21
2,"User 2","user2@example.com","password123","[]",21
3,"User 3","user3@example.com","password123","[]",21
4,"User 4","user4@example.com","password123","[]",29
5,"User 5","user5@example.com","password123","[]",29
6,"User 6","user6@example.com","password123","[]",21
7,"User 7","user7@example.com","password123","[]",21
8,"User 8","user8@example.com","password123","[]",20
9,"User 9","user9@example.com","password123","[]",
10,"User 10","user10@example.com","password123","[]",38
11,"User 11","user11@example.com","password123","[]",21
12,"User 12","user12@example.com","password123","[]",22
13,"User 13","user13@example.com","password123","[]",21
14,"User 14","user14@example.com","password123","[]",20
15,"User 15","user15@example.com","password123","[]",22
16,"User 16","user16@example.com","password123","[]",23
17,"User 17","user17@example.com","password123","[]",20
18,"User 18","user18@example.com","password123","[]",23
19,"User 19","user19@example.com","password123","[]",21
20,"User 20","user20@example.com","password123","[]",21
21,"User 21","user21@example.com","password123","[]",20
22,"User 22","user22@example.com","password123","[]",23
23,"User 23","user23@example.com","password123","[]",20
24,"User 24","user24@example.com","password123","[]",21
25,"User 25","user25@example.com","password123","[]",42
26,"User 26","user26@example.com","password123","[]",20
27,"User 27","user27@example.com","password123","[]",20
28,"User 28","user28@example.com","password123","[]",21
29,"User 29","user29@example.com","password123","[]",40
30,"User 30","user30@example.com","password123","[]",20
31,"User 31","user31@example.com","password123","[]",21
32,"User 32","user32@example.com","password123","[]",22
33,"User 33","user33@example.com","password123","[]",21
34,"User 34","user34@example.com","password123","[]",20
35,"User 35","user35@example.com","password123","[]",20
36,"User 36","user36@example.com","password123","[]",23
37,"User 37","user37@example.com","password123","[]",21
38,"User 38","user38@example.com","password123","[]",25
39,"User 39","user39@example.com","password123","[]",21
40,"User 40","user40@example.com","password123","[]",19
41,"User 41","user41@example.com","password123","[]",22
42,"User 42","user42@example.com","password123","[]",23
43,"User 43","user43@example.com","password123","[]",19
44,"User 44","user44@example.com","password123","[]",20
45,"User 45","user45@example.com","password123","[]",22
46,"User 46","user46@example.com","password123","[]",21
47,"User 47","user47@example.com","password123","[]",19
48,"User 48","user48@example.com","password123","[]",21
49,"User 49","user49@example.com","password123","[]",21
50,"User 50","user50@example.com","password123","[]",20
51,"User 51","user51@example.com","password123","[]",24
52,"User 52","user52@example.com","password123","[]",20
53,"User 53","user53@example.com","password123","[]",20
54,"User 54","user54@example.com","password123","[]",24
55,"User 55","user55@example.com","password123","[]",20
56,"User 56","user56@example.com","password123","[]",27
57,"User 57","user57@example.com","password123","[]",28
58,"User 58","user58@example.com","password123","[]",23
59,"aamay","amay@gmail.com","$2b$10$CXh1TZkIHaT6qTcr26YnFeYBUbwDatwvHLKR0PxQPEuuYuLe.Ns5e","[""Budaya""]",20
60,"pai","byeonipai@gmail.com","$2b$10$YzXnx9GesSO86u7JXMzepud2LfH/orB/TyD234gIlmyDtyf05vuw6","[""museum""]",
61,"kaciw","kaciw@gmail.com","$2b$10$a8XOtkVF5cpaqLZ0IY8Pae2Z9TtaznFLsBF7szQgewUPWaVxfK1n6","[]",
